Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
International Journal of Value Chain Management:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)', 'Strategy and Management (Q4)']
Ibersid:  ['Communication (Q4)', 'Computer Networks and Communications (Q4)', 'Information Systems (Q4)', 'Library and Information Sciences (Q4)']
CALL-EJ:  ['Language and Linguistics (Q3)', 'Linguistics and Language (Q3)', 'Computer Science Applications (Q4)']
Journal of the Institute of Telecommunications Professionals:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)']
Iranian Journal of Science and Technology - Transactions of Electrical Engineering:  ['Computer Networks and Communications (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Energy Engineering and Power Technology (Q4)', 'Signal Processing (Q4)']
International Journal of Business Data Communications and Networking:  ['Computer Networks and Communications (Q4)', 'Management Information Systems (Q4)']
Journal of Computational Information Systems:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)']
International Journal of Web Engineering and Technology:  ['Computer Networks and Communications (Q4)', 'Hardware and Architecture (Q4)', 'Information Systems (Q4)']
Nonlinear Optics Quantum Optics:  ['Atomic and Molecular Physics, and Optics (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Electronic, Optical and Magnetic Materials (Q4)', 'Instrumentation (Q4)', 'Statistical and Nonlinear Physics (Q4)']
VLSI Design:  ['Computer Graphics and Computer-Aided Design (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)']
Journal of Science and Technology of the Arts:  ['Visual Arts and Performing Arts (Q2)', 'Conservation (Q3)', 'Music (Q3)', 'Computer Science Applications (Q4)']
Australian Journal of Telecommunications and the Digital Economy:  ['Media Technology (Q3)', 'Communication (Q4)', 'Computer Networks and Communications (Q4)', 'Management of Technology and Innovation (Q4)']
Journal of Advanced Research in Dynamical and Control Systems:  ['Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
Technoetic Arts: a journal of speculative research:  ['Visual Arts and Performing Arts (Q2)', 'Philosophy (Q3)', 'Computer Science Applications (Q4)', 'Human-Computer Interaction (Q4)']
gis.Science - Die Zeitschrift fur Geoinformatik:  ['Geography, Planning and Development (Q4)', 'Information Systems (Q4)']
Journal of Interconnection Networks:  ['Computer Networks and Communications (Q4)']
WSEAS Transactions on Information Science and Applications:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)']
Journal Europeen des Systemes Automatises:  ['Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Industrial and Manufacturing Engineering (Q4)']
Mondo Digitale:  ['Media Technology (Q3)', 'Computer Science Applications (Q4)', 'Information Systems (Q4)']
Informatik-Spektrum:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)']
Journal of Geomatics:  ['Computer Science (miscellaneous) (Q4)', 'Earth-Surface Processes (Q4)']
International Journal of Computer Networks and Communications:  ['Computer Networks and Communications (Q4)', 'Hardware and Architecture (Q4)']
International Journal of COMADEM:  ['Bioengineering (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Industrial and Manufacturing Engineering (Q4)', 'Safety, Risk, Reliability and Quality (Q4)', 'Signal Processing (Q4)', 'Strategy and Management (Q4)']
International Journal of Interdisciplinary Telecommunications and Networking:  ['Computer Networks and Communications (Q4)']
Iranian Journal of Information Processing Management:  ['Computer Science (miscellaneous) (Q4)']
Meridian:  ['Computer Science Applications (Q4)', 'Education (Q4)']
Systems and Computers in Japan:  ['Computational Theory and Mathematics (Q4)', 'Hardware and Architecture (Q4)', 'Information Systems (Q4)', 'Theoretical Computer Science (Q4)']
Digital Textile:  ['Computer Graphics and Computer-Aided Design (Q4)']
International Journal of Technologies in Learning:  ['Computer Science Applications (Q4)', 'Education (Q4)', 'E-learning (Q4)']
IIUM Engineering Journal:  ['Applied Mathematics (Q4)', 'Chemical Engineering (miscellaneous) (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
International Journal of Information Quality:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)']
International Journal of Knowledge Management Studies:  ['Computer Science Applications (Q4)', 'Information Systems and Management (Q4)', 'Management Information Systems (Q4)', 'Management of Technology and Innovation (Q4)']
Sistemi Intelligenti:  ['Language and Linguistics (Q3)', 'Linguistics and Language (Q3)', 'Artificial Intelligence (Q4)', 'Cognitive Neuroscience (Q4)', 'Experimental and Cognitive Psychology (Q4)']
Information Technology Journal:  ['Computer Science (miscellaneous) (Q4)']
International Journal of Systems Signal Control and Engineering Application:  ['Control and Systems Engineering (Q4)', 'Signal Processing (Q4)']
International Journal of Information Security and Privacy:  ['Information Systems (Q4)']
In Silico Biology:  ['Computational Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Genetics (Q4)', 'Medicine (miscellaneous) (Q4)', 'Molecular Biology (Q4)']
International Journal of Intelligent Information and Database Systems:  ['Information Systems (Q4)']
Journal of Flow Visualization and Image Processing:  ['Computer Science Applications (Q4)', 'Condensed Matter Physics (Q4)', 'Mechanical Engineering (Q4)']
Journal of Information Systems and Telecommunication:  ['Artificial Intelligence (Q4)', 'Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Information Systems (Q4)']
International Journal of Computers and Applications:  ['Computer Graphics and Computer-Aided Design (Q4)', 'Computer Science Applications (Q4)', 'Hardware and Architecture (Q4)', 'Software (Q4)']
International Journal of Soft Computing:  ['Modeling and Simulation (Q4)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
International Journal of IT Standards and Standardization Research:  ['Computer Science Applications (Q4)', 'Management of Technology and Innovation (Q4)']
Trends in Bioinformatics:  ['Computational Theory and Mathematics (Q4)', 'Computer Science Applications (Q4)']
International Journal of Simulation: Systems, Science and Technology:  ['Modeling and Simulation (Q4)', 'Software (Q4)']
Journal of Transportation Systems Engineering and Information Technology:  ['Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)', 'Modeling and Simulation (Q4)', 'Transportation (Q4)']
Journal of Software Engineering:  ['Software (Q4)']
Foundations and Trends in Web Science:  ['Computer Networks and Communications (Q4)']
Lecture Notes of TICMI:  ['Applied Mathematics (Q4)', 'Information Systems (Q4)', 'Mathematics (miscellaneous) (Q4)']
International Conference on Geoinformatics:  ['Computer Networks and Communications (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Geography, Planning and Development (Q4)', 'Information Systems (Q4)', 'Software (Q4)']
International Journal of Open Source Software and Processes:  ['Software (Q4)']
Preservation, Digital Technology and Culture:  ['Conservation (Q3)', 'Computer Science Applications (Q4)', 'Library and Information Sciences (Q4)']
International Journal of Services Operations and Informatics:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)', 'Management Information Systems (Q4)', 'Management Science and Operations Research (Q4)']
HP Laboratories Technical Report:  ['Computer Networks and Communications (Q4)', 'Hardware and Architecture (Q4)', 'Software (Q4)']
Ada User Journal:  ['Software (Q4)']
Journal of Logic and Algebraic Programming:  ['Computational Theory and Mathematics (Q4)', 'Logic (Q4)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
Industrial Engineer:  ['Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)', 'Industrial and Manufacturing Engineering (Q4)']
Revue d'Intelligence Artificielle:  ['Artificial Intelligence (Q4)', 'Software (Q4)']
Transactions of the Japanese Society for Artificial Intelligence:  ['Artificial Intelligence (Q4)', 'Software (Q4)']
Civil-Comp Proceedings:  ['Artificial Intelligence (Q4)', 'Civil and Structural Engineering (Q4)', 'Computational Theory and Mathematics (Q4)', 'Environmental Engineering (Q4)']
Transactions of the Japan Society for Computational Engineering and Science:  ['Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
Cutter IT Journal:  ['Software (Q4)']
International Journal of Control Theory and Applications:  ['Computer Science (miscellaneous) (Q4)']
Progress in Informatics:  ['Computer Science (miscellaneous) (Q4)', 'Library and Information Sciences (Q4)']
International Journal of Intelligent Computing in Medical Sciences and Image Processing:  ['Computer Science (miscellaneous) (Q4)', 'Radiology, Nuclear Medicine and Imaging (Q4)']
Paladyn:  ['Artificial Intelligence (Q4)', 'Behavioral Neuroscience (Q4)', 'Cognitive Neuroscience (Q4)', 'Developmental Neuroscience (Q4)', 'Human-Computer Interaction (Q4)']
International Journal of Computers and their Applications:  ['Computer Science (miscellaneous) (Q4)']
NII Technical Reports:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)']
ACM Transactions on Asian and Low-Resource Language Information Processing:  ['Computer Science (miscellaneous) (Q4)']
Information Technology and Disabilities:  ['Human-Computer Interaction (Q4)', 'Information Systems and Management (Q4)']
Bridge:  ['Computer Science (miscellaneous) (Q4)', 'Education (Q4)', 'Energy (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers:  ['Media Technology (Q3)', 'Computer Science Applications (Q4)', 'Electrical and Electronic Engineering (Q4)']
NEC Technical Journal:  ['Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)', 'Information Systems (Q4)', 'Materials Science (miscellaneous) (Q4)']
International Journal of Electrical and Computer Engineering Systems:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)']
Journal of Research and Practice in Information Technology:  ['Computer Networks and Communications (Q4)', 'E-learning (Q4)', 'Hardware and Architecture (Q4)', 'Information Systems (Q4)', 'Management Information Systems (Q4)', 'Software (Q4)']
Telfor Journal:  ['Computer Networks and Communications (Q4)', 'Media Technology (Q4)', 'Radiation (Q4)', 'Signal Processing (Q4)', 'Software (Q4)']
Research Reports on Information Science and Electrical Engineering of Kyushu University:  ['Computer Science (miscellaneous) (Q4)', 'Electrical and Electronic Engineering (Q4)']
Journal of Information Technology Education: Discussion Cases:  ['Computer Science (miscellaneous) (Q4)', 'Education (Q4)', 'Sociology and Political Science (Q4)']
International Journal of Engineering and Technology(UAE):  ['Biotechnology (Q4)', 'Chemical Engineering (miscellaneous) (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)', 'Environmental Engineering (Q4)', 'Hardware and Architecture (Q4)']
International Journal of Work Innovation:  ['Communication (Q4)', 'Computer Networks and Communications (Q4)', 'Management of Technology and Innovation (Q4)', 'Organizational Behavior and Human Resource Management (Q4)']
TAL Traitement Automatique des Langues:  ['Computer Science Applications (Q4)', 'Language and Linguistics (Q4)', 'Linguistics and Language (Q4)']
International Journal of Sensors, Wireless Communications and Control:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Control and Optimization (Q4)', 'Electrical and Electronic Engineering (Q4)']
Revista de Direito, Estado e Telecomunicacoes:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Law (Q4)']
Journal of International Commercial Law and Technology:  ['Computer Science (miscellaneous) (Q4)', 'Law (Q4)']
ITU News:  ['Computer Science Applications (Q4)', 'Electrical and Electronic Engineering (Q4)']
Artnodes:  ['Computer Graphics and Computer-Aided Design (Q4)', 'Computer Science Applications (Q4)', 'Cultural Studies (Q4)', 'Literature and Literary Theory (Q4)', 'Visual Arts and Performing Arts (Q4)']
GIS-Zeitschrift f¨¹r Geoinformatik:  ['Geography, Planning and Development (Q4)', 'Information Systems (Q4)']
International Journal of Future Generation Communication and Networking:  ['Computer Networks and Communications (Q4)']
Mitsubishi Electric Advance:  ['Control and Systems Engineering (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)', 'Software (Q4)']
Computer Software:  ['Software (Q4)']
Journal of the Institute of Image Electronics Engineers of Japan:  ['Computer Science (miscellaneous) (Q4)', 'Electrical and Electronic Engineering (Q4)']
Byte:  ['Computer Science (miscellaneous)']
Cybernetics:  ['Computer Science (miscellaneous)', 'Electrical and Electronic Engineering']
Foundry Trade Journal International:  ['Information Systems', 'Information Systems and Management', 'Software']
Journal of Physical Agents:  ['Control and Systems Engineering', 'Software']
International Journal of Vehicle Information and Communication Systems:  ['Automotive Engineering', 'Computer Science Applications', 'Control and Systems Engineering']
